collective,world_size,lnc,nki_lnc,size_bytes,framework_us,nki_us,framework_tput_GBps,nki_tput_GBps,framework_busbw_GBps,nki_busbw_GBps,speedup,source_log
all_to_all,8,1,1,8192,1190.1,110.5,0.007,0.074,0.006,0.065,10.77,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,16384,1165.5,96.1,0.014,0.17,0.012,0.149,12.12,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,32768,1125.9,103.3,0.029,0.317,0.025,0.277,10.9,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,65536,1172.5,107.7,0.056,0.608,0.049,0.532,10.89,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,131072,1231.1,102.6,0.106,1.277,0.093,1.118,12.0,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,262144,1225.0,192.3,0.214,1.364,0.187,1.193,6.37,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,524288,1181.6,113.4,0.444,4.622,0.388,4.044,10.42,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,1048576,1136.8,100.1,0.922,10.474,0.807,9.165,11.35,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,2097152,1122.8,110.9,1.868,18.919,1.634,16.554,10.13,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_to_all,8,1,1,4194304,1202.0,136.7,3.49,30.683,3.053,26.847,8.79,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_743.out
all_reduce,8,1,1,512,1034.2,99.1,0.001,0.01,0.001,0.009,10.44,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,1024,972.9,99.1,0.002,0.021,0.002,0.018,9.81,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,2048,1040.6,101.6,0.004,0.04,0.003,0.035,10.24,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,4096,993.7,97.8,0.008,0.084,0.007,0.073,10.16,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,8192,1031.6,100.6,0.016,0.163,0.014,0.143,10.26,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,16384,1045.3,98.2,0.031,0.334,0.027,0.292,10.65,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,32768,1059.4,100.0,0.062,0.655,0.054,0.573,10.59,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,65536,1023.9,98.0,0.128,1.338,0.112,1.17,10.45,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,131072,1003.9,100.6,0.261,2.606,0.228,2.28,9.98,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,262144,1015.0,99.5,0.517,5.267,0.452,4.609,10.2,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,524288,1017.7,108.1,1.03,9.702,0.902,8.489,9.42,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,1048576,1135.0,110.7,1.848,18.949,1.617,16.58,10.26,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,2097152,1014.3,127.6,4.135,32.866,3.618,28.758,7.95,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,4194304,1044.5,161.7,8.032,51.871,7.028,45.387,6.46,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,8388608,1088.5,268.5,15.413,62.486,13.487,54.675,4.05,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,16777216,1356.9,489.8,24.729,68.508,21.638,59.944,2.77,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,33554432,1745.3,922.5,38.451,72.747,33.645,63.653,1.89,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,67108864,2508.0,1804.2,53.516,74.391,46.826,65.092,1.39,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
all_reduce,8,1,1,134217728,4086.7,3670.0,65.685,73.143,57.474,64.0,1.11,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_f/nki_sweep_744.out
